Index,Ticker,AveragePriceTarget,NumRatings,ClosingPrice,MarketCap,ExpectedGrowthRate,OverallRecommendation,ProjectedMarketCap,TotalRevenue,NormEBITDA,ReturnOnAssets,ChangeNormEBITDA,ChangeRevenue,OperatingCashFlow,ChangeOCF,Sector
16,ACCD,14.0,17,13.47,980436922.3161469,0.039,0,1018673962.2864766,310021000.0,214676000.0,-0.0971,343342000.0,139663000.0,-40430000.0,21920000.0,Healthcare
17,ACDC,30.5,6,13.44,725207593.3579445,1.269,1,1645496029.329176,768353000.0,132528000.0,0.16022,0.0,1657247000.0,415200000.0,0.0,Energy
18,ACEL,13.0,5,9.04,784293184.5304413,0.438,1,1127813599.3547745,969797000.0,143634000.0,0.08198,0.0,235090000.0,107999000.0,0.0,Consumer Cyclical
20,ACHC,90.0,13,72.64,6744297353.891602,0.239,1,8356184421.471694,2610399000.0,561672000.0,0.05718,23792000.0,296005000.0,380569000.0,0.0,Healthcare
21,ACHR,6.5,4,2.63,638777036.7555237,1.471,1,1578418057.822899,0.0,-383200000.0,-0.31348,0.0,0.0,-200400000.0,0.0,Industrials
23,ACI,29.0,15,20.94,11927989851.733644,0.385,1,16520265944.651096,71887000000.0,4936100000.0,0.0563,0.0,5762700000.0,2853900000.0,0.0,Consumer Defensive
24,ACLS,142.0,5,126.92,4152073512.098694,0.119,1,4646170260.038439,919998000.0,222068000.0,0.15024,11607000.0,257570000.0,215607000.0,0.0,Technology
25,ACLX,37.5,8,27.49,1315132585.0502014,0.364,1,1793840846.0084748,0.0,-63977000.0,-0.54016,1321000.0,0.0,-99303000.0,0.0,Healthcare
26,ACM,98.5,10,80.04,11121558127.212524,0.231,1,13690638054.598618,13148182000.0,964115000.0,0.03946,195658000.0,-192670000.0,638795000.0,-74841000.0,Industrials
27,ACMR,15.0,5,10.68,635036022.1458435,0.404,1,891590575.0927643,388832000.0,75756000.0,0.03226,5366000.0,129081000.0,-62194000.0,0.0,Technology
29,ACVA,14.5,12,12.21,1931805253.715424,0.188,1,2294984641.413924,421529000.0,-89749000.0,-0.07064,0.0,63094000.0,-75175000.0,-912000.0,Consumer Cyclical
30,ADAP,3.0,7,1.05,173570233.71764374,1.857,1,495890157.73130816,6149000.0,-155679000.0,-0.25309,4594000.0,20999000.0,-141769000.0,0.0,Healthcare
31,ADBE,400.0,17,382.02,177570152329.50586,0.047,0,185915949488.99265,17606000000.0,7064000000.0,0.14494,48000000.0,1821000000.0,7762000000.0,-76000000.0,Technology
32,ADC,78.0,13,67.04,5961256949.249512,0.163,1,6932941831.977182,429814000.0,381911000.0,0.02239,38825000.0,99545000.0,362121000.0,0.0,Real Estate
34,ADEA,15.5,4,8.3,871989720.038414,0.867,1,1628004807.311719,438933000.0,324081000.0,0.054899998,0.0,-438763000.0,183023000.0,0.0,Technology
35,ADI,225.0,19,190.37,96397651381.57031,0.182,1,113942023933.01611,12013953000.0,6587532000.0,0.05244,716367000.0,4695667000.0,5025294000.0,549892000.0,Technology
36,ADNT,40.5,10,38.36,3658972647.6584473,0.056,0,3863875115.927321,14121000000.0,688519591.546405,0.01757,44519591.54640496,441000000.0,337036582.934389,63036582.934389,Consumer Cyclical
37,ADP,240.5,12,213.17,88337647241.21094,0.128,1,99644866088.08594,16046500000.0,4780800000.0,0.0458,359800000.0,1463500000.0,3501700000.0,402200000.0,Industrials
38,ADPT,13.0,8,8.43,1205591203.6437988,0.542,1,1859021636.0187376,185308000.0,-175210000.0,-0.13946,19221000.0,30964000.0,-183945000.0,0.0,Healthcare
39,ADSK,244.5,20,197.55,42430383885.86572,0.238,1,52528815250.70177,5005000000.0,1151000000.0,0.07107,12000000.0,618600000.0,2071000000.0,0.0,Technology
40,ADT,10.5,4,6.91,6150922323.054199,0.52,1,9349401931.042383,6395310000.0,2367000000.0,0.02631,880000.0,1088000000.0,1887920000.0,-80000.0,Industrials
41,ADTH,3.0,6,1.58,138445291.76039696,0.899,1,262907609.05299383,166082000.0,-19025000.0,0.00396,0.0,717000.0,13918000.0,0.0,Communication Services
42,ADTN,28.0,5,15.2,1195239825.0017166,0.842,1,2201631757.653162,1025536000.0,28799000.0,-0.030380001,0.0,462532000.0,-44228000.0,-683000.0,Technology
43,ADUS,125.0,7,108.19,1744866721.3745117,0.155,1,2015321063.187561,951120000.0,82797000.0,0.04875,341000.0,86621000.0,105110000.0,0.0,Healthcare
45,AEE,93.5,12,89.27,23499165392.1709,0.047,0,24603626165.60293,7957000000.0,3162000000.0,0.02884,0.0,1563000000.0,2263000000.0,0.0,Utilities
46,AEIS,110.0,9,91.19,3418995880.5358887,0.206,1,4123309031.926282,1845422000.0,307019000.0,0.08036,0.0,389468000.0,183587000.0,0.0,Industrials
47,AEM,60.0,14,55.92,27025072187.726074,0.073,0,28997902457.43008,5741162000.0,2422660000.0,0.05284,93502000.0,1917284000.0,2096636000.0,0.0,Basic Materials
48,AEO,16.0,13,13.74,2716700234.7450256,0.164,1,3162239073.24321,4989833000.0,492220000.0,0.047459997,5602000.0,-20952000.0,406296000.0,0.0,Consumer Cyclical
49,AEP,100.0,16,94.54,48776496128.67261,0.058,0,51605532904.13562,19639500000.0,7264300000.0,0.02737,0.0,2847500000.0,5288000000.0,0.0,Utilities
50,AER,74.0,9,54.03,13284896099.853516,0.37,1,18200307656.79932,6914985000.0,6911148000.0,0.0286,0.0,2326055000.0,5170962000.0,0.0,Industrials
51,AES,30.0,13,24.1,16123646776.815063,0.245,1,20073940237.134754,12617000000.0,3620000000.0,0.04111,0.0,1476000000.0,2715000000.0,0.0,Utilities
52,AESI,25.0,8,17.31,989223194.4799424,0.444,1,1428438292.829037,482724000.0,263239000.0,0.22395,0.0,310320000.0,206012000.0,0.0,Energy
53,AEVA,2.5,5,1.02,222595623.99757385,1.451,1,545581874.4180535,9265000.0,-101138000.0,-0.22725001,0.0,-5073000.0,-109911000.0,0.0,Consumer Cyclical
54,AFYA,17.25,4,10.6,921193033.1516266,0.627,1,1498781064.9376965,1719371000.0,585531000.0,0.060890004,0.0,609686000.0,843899000.0,0.0,Consumer Defensive
55,AG,8.19,5,7.47,2147191560.172272,0.096,0,2353321949.94881,626850000.0,86874000.0,-0.01523,0.0,39625000.0,18988000.0,0.0,Basic Materials
56,AGCO,152.0,15,119.34,8932145233.90503,0.274,1,11379553027.995008,12651400000.0,1468200000.0,0.08427,33000000.0,1513100000.0,838200000.0,0.0,Industrials
58,AGI,11.91,9,12.97,5103150157.544617,-0.082,0,4684691844.625958,821200000.0,316100000.0,0.02565,1800000.0,-2400000.0,298500000.0,0.0,Basic Materials
59,AGIL,7.0,4,3.12,150519402.47898102,1.244,1,337765539.1628334,158668000.0,-2781000.0,-0.01302,-4870000.0,18178000.0,-8292000.0,0.0,Technology
60,AGIO,38.0,6,21.66,1190106525.6160736,0.754,1,2087446845.930593,14240000.0,-518187000.0,-0.1817,8564000.0,14240000.0,-309478000.0,0.0,Healthcare
61,AGR,41.9,9,40.7,15735597094.970703,0.029,0,16191929410.724854,7923000000.0,2229000000.0,0.012309999,0.0,949000000.0,1035000000.0,0.0,Utilities
62,AGRO,9.0,5,7.9,864647110.43787,0.139,1,984833058.788734,1347724000.0,490172000.0,0.00509,0.0,223372000.0,370026000.0,0.0,Consumer Defensive
63,AGS,11.0,7,6.61,249826938.04621696,0.664,1,415712024.908905,259696000.0,102827000.0,0.03518,0.0,49740000.0,77709000.0,0.0,Consumer Cyclical
64,AGTI,20.0,9,15.94,2125407664.0491488,0.255,1,2667386618.381682,1121292000.0,259851000.0,0.0257,0.0,82602000.0,199776000.0,0.0,Healthcare
65,AHCO,22.5,10,12.13,1643020742.5411377,0.855,1,3047803477.4138107,2970595000.0,541336000.0,0.025799999,0.0,516060000.0,373867000.0,0.0,Healthcare
66,AHH,14.0,6,11.76,1023812636.8862,0.19,1,1218337037.894578,454153000.0,155235000.0,0.01925,0.0,170077000.0,116858000.0,0.0,Real Estate
68,AI,21.0,9,21.09,2292693916.5878296,-0.004,0,2283523140.9214783,252759000.0,-269050000.0,-0.14989,-78118000.0,69542000.0,-155907000.0,-69445000.0,Technology
69,AIN,100.0,5,86.49,2689838933.5632324,0.156,1,3109453807.1990967,1034887000.0,208974000.0,0.07121,-6161000.0,105647000.0,128214000.0,0.0,Consumer Cyclical
70,AIRC,41.0,10,35.12,5236497481.700806,0.167,1,6110992561.14484,773723000.0,525207000.0,0.01193,0.0,32870000.0,420557000.0,0.0,Real Estate
71,AIRS,7.0,4,4.76,268395944.9056625,0.471,1,394810434.9562296,168794000.0,4595000.0,-0.01079,0.0,35479000.0,24447000.0,0.0,Healthcare
72,AJG,215.0,15,195.28,41947315417.785645,0.101,1,46183994274.982,8537600000.0,2349500000.0,0.0317,-26000000.0,341200000.0,2125400000.0,0.0,Financial Services
74,AKAM,94.0,17,77.41,12099493212.402344,0.214,1,14688784759.856443,3616654000.0,1294453000.0,0.05465,0.0,155431000.0,1274676000.0,0.0,Technology
75,AKLI,3.5,4,1.51,117642142.2970047,1.318,1,272694485.8444569,3939000.0,-25012000.0,-0.50266,1790000.0,-215000.0,-83521000.0,0.0,Healthcare
76,AKR,16.0,5,13.52,1430618848.438263,0.183,1,1692422097.702465,326290000.0,162031000.0,0.00182,0.0,33793000.0,133211000.0,0.0,Real Estate
77,AKRO,59.0,6,36.89,1732760161.3311768,0.599,1,2770683497.968552,0.0,-100845000.0,-0.26071,43000.0,0.0,-92517000.0,0.0,Healthcare
78,AKTS,8.12,4,2.81,206783961.78922653,1.89,1,597605649.5708647,15350000.0,-55587000.0,-0.29669002,4920000.0,8732000.0,-47877000.0,-2682000.0,Technology
79,AKYA,17.0,7,7.45,285647147.68686295,1.282,1,651846791.0214212,74859000.0,-58917000.0,-0.22554001,415000.0,19942000.0,-53496000.0,0.0,Healthcare
80,AL,55.0,6,38.3,4251874415.3022766,0.436,1,6105691660.374069,2317302000.0,1651920000.0,0.026619999,0.0,228913000.0,1382150000.0,0.0,Industrials
81,ALB,307.5,18,196.71,24582456119.018555,0.563,1,38422378914.026,7320104000.0,2865658000.0,0.12139,0.0,3992147000.0,1907849000.0,0.0,Basic Materials
82,ALC,85.0,15,69.27,34285323378.479004,0.227,1,42068091785.39374,8717000000.0,1783000000.0,0.01792,63000000.0,426000000.0,1217000000.0,0.0,Healthcare
83,ALDX,21.0,8,9.73,569789746.1933136,1.158,1,1229606272.2851706,0.0,-55769993.0,-0.18905,258707.0,0.0,-56637187.0,0.0,Healthcare
84,ALE,65.0,5,64.69,3707591047.9248047,0.005,0,3726129003.1644287,1570700000.0,422900000.0,0.0135699995,0.0,151500000.0,221300000.0,0.0,Utilities
85,ALEC,12.0,9,6.15,510621617.518158,0.951,1,996222775.7779262,133617000.0,-129362000.0,-0.107530005,8472000.0,-73468000.0,-20329000.0,0.0,Healthcare
86,ALGM,51.0,6,45.61,8731396076.843262,0.118,1,9761700813.910769,768674000.0,218481000.0,0.112069994,36419000.0,177467000.0,183229000.0,27100000.0,Technology
87,ALGN,355.0,12,317.02,24286997732.414062,0.12,1,27201437460.30375,3734635000.0,791294000.0,0.06906,125793000.0,-217949000.0,568732000.0,0.0,Healthcare
89,ALGT,105.0,12,87.48,1609509589.7628784,0.2,1,1931411507.715454,2301829000.0,340178000.0,0.01888,0.0,593919000.0,303050000.0,0.0,Industrials
90,ALHC,14.0,9,7.15,1338916110.6586,0.958,1,2621597744.669539,1434159000.0,-111329000.0,-0.12714,0.0,266386000.0,-45427000.0,0.0,Healthcare
91,ALK,61.0,12,41.95,5475020449.573517,0.454,1,7960679733.679893,9646000000.0,669000000.0,0.01582,499000000.0,3470000000.0,1418000000.0,0.0,Industrials
92,ALKS,32.0,10,29.37,4825843577.896118,0.09,0,5260169499.906769,1111795000.0,-54652000.0,-0.04459,41499000.0,-61956000.0,21044000.0,0.0,Healthcare
93,ALKT,18.0,7,12.26,1138334940.291565,0.468,1,1671075692.3480177,204270000.0,-59447000.0,-0.094849996,0.0,52111000.0,-37788000.0,0.0,Technology
94,ALLE,124.0,10,99.19,8715567620.52002,0.25,1,10894459525.650024,3271900000.0,698300000.0,0.111169994,2400000.0,404500000.0,459500000.0,0.0,Industrials
96,ALLK,7.0,7,4.13,353867066.2855377,0.695,1,599804677.3539864,0.0,-315358000.0,-0.43749002,7071000.0,0.0,-279971000.0,0.0,Healthcare
97,ALPN,15.0,4,7.46,356266475.8217812,1.011,1,716451882.877602,23443000.0,-48984000.0,-0.13396,597000.0,6621000.0,-43754000.0,0.0,Healthcare
98,ALRM,62.0,6,48.73,2432153261.152649,0.272,1,3093698948.1861696,842559000.0,91966000.0,0.03101,0.0,93590000.0,56901000.0,0.0,Technology
99,ALSN,48.0,6,43.96,4053555735.739136,0.092,0,4426482863.427136,2769000000.0,953000000.0,0.10859,190000000.0,367000000.0,657000000.0,0.0,Consumer Cyclical
100,ALTG,23.5,4,13.48,436321973.1830597,0.743,1,760509199.2580731,1571800000.0,154400000.0,0.02244,0.0,359000000.0,26000000.0,0.0,Industrials
101,ALTR,67.0,9,70.68,5706894343.360718,-0.052,0,5410135837.50596,572221000.0,16073000.0,-0.00366,4405000.0,40042000.0,39570000.0,0.0,Technology
102,ALV,95.5,20,88.67,7610518987.161133,0.077,0,8196528949.17254,8842000000.0,1026000000.0,0.046869997,0.0,612000000.0,713000000.0,0.0,Consumer Cyclical
103,ALVO,12.0,5,13.51,3598253460.960388,-0.112,0,3195249073.3328247,83029000.0,-341675000.0,-0.30118,-15601000.0,46257000.0,-312389000.0,0.0,Healthcare
106,ALYA,2.6,7,2.02,192122812.2659149,0.287,1,247262059.38623247,437885000.0,25272000.0,-0.00521,8154000.0,150242000.0,17290000.0,18919000.0,Technology
107,AM,11.5,4,10.5,5025436416.0,0.095,0,5502852875.52,990657000.0,837569000.0,0.05965,0.0,756499000.0,699604000.0,0.0,Energy
108,AMAT,139.0,19,117.32,99149245379.21043,0.185,1,117491855774.36436,25785000000.0,8327000000.0,0.1831,60000000.0,2722000000.0,5011000000.0,-388000000.0,Technology
109,AMBA,100.0,16,69.86,2707557057.6553345,0.431,1,3874514149.504784,337606000.0,-74256000.0,-0.06321,19934000.0,5750000.0,44093000.0,0.0,Technology
110,AMBP,5.75,8,3.84,2294687856.5497284,0.497,1,3435147721.2549434,4689000000.0,734000000.0,0.028369999,420000000.0,634000000.0,205000000.0,0.0,Consumer Cyclical
111,AMCR,12.06,9,11.31,16804172061.538086,0.066,0,17913247417.599598,14544000000.0,2144000000.0,0.0541,35000000.0,1683000000.0,1348000000.0,-178000000.0,Consumer Cyclical
112,AMCX,23.0,9,17.0,727753000.0,0.353,1,984649809.0,3096545000.0,1709190000.0,0.063319996,1008470000.0,18937000.0,181834000.0,0.0,Communication Services
113,AMD,90.0,20,92.56,149150250023.0625,-0.028,0,144974043022.41675,23601000000.0,5534000000.0,0.01975,0.0,7167000000.0,3565000000.0,0.0,Technology
114,AME,157.0,11,135.67,32022869103.166992,0.157,1,37050459552.36421,6150530000.0,1831305000.0,0.0771,319427000.0,604016000.0,1149373000.0,0.0,Industrials
115,AMED,109.0,14,77.0,2501884000.0,0.416,1,3542667744.0,2223199000.0,256445000.0,0.05993,0.0,9087000.0,133283000.0,0.0,Healthcare
116,AMH,36.0,18,31.5,12751893504.0,0.143,1,14575414275.072,1490534000.0,764553000.0,0.016619999,0.0,186652000.0,665518000.0,0.0,Real Estate
117,AMK,30.0,6,30.22,2233251905.2570343,-0.007,0,2217619141.920235,618306000.0,174429000.0,0.06394,0.0,88007000.0,140301000.0,0.0,Financial Services
118,AMLI,5.67,4,2.03,427095753.9806366,1.793,1,1192878440.867918,0.0,-31393687.0,-0.10334,-8172914.0,0.0,-23251906.0,-9822691.0,Basic Materials
119,AMLX,50.0,6,27.81,1857326967.332268,0.798,1,3339473887.263418,22230000.0,-200854000.0,-0.50632,487000.0,22230000.0,-179871000.0,0.0,Healthcare
120,AMN,131.5,6,82.9,3592546176.125336,0.586,1,5697778235.334784,5243242000.0,784212000.0,0.13375,4104000.0,1259007000.0,653733000.0,0.0,Healthcare
121,AMPH,42.5,4,38.94,1894941047.171402,0.091,0,2067380682.4639995,498987000.0,107497000.0,0.09506,39130000.0,61219000.0,89181000.0,0.0,Healthcare
122,AMPL,17.0,9,11.95,1351246228.432655,0.423,1,1922823383.059668,238067000.0,-91900000.0,-0.14826,0.0,70806000.0,-5384000.0,0.0,Technology
123,AMPS,10.0,7,5.07,806069187.292099,0.972,1,1589568437.3400192,71800000.0,45624000.0,0.00984,0.0,29363000.0,35242000.0,0.0,Utilities
124,AMRC,68.0,12,44.37,2232006174.269104,0.533,1,3421665465.154536,1824422000.0,189869000.0,0.03306,2599000.0,608725000.0,-338288000.0,0.0,Industrials
125,AMRN,3.0,6,1.37,556378921.936512,1.19,1,1218469839.0409613,369193000.0,-87168000.0,-0.0475,3096000.0,-213994000.0,-180092000.0,0.0,Healthcare
126,AMRX,4.0,4,1.34,383876520.282135,1.985,1,1145871413.042173,2212304000.0,446639000.0,0.032309998,0.0,118635000.0,65100000.0,0.0,Healthcare
127,AMSC,11.0,4,3.97,117234497.84486294,1.771,1,324856793.52811515,108435000.0,-27220000.0,-0.12056,228000.0,21310000.0,-20119000.0,-1142000.0,Industrials
128,AMT,244.5,18,204.69,96426800817.63477,0.194,1,115133600176.2559,10711100000.0,7346400000.0,0.028619999,1133700000.0,1354200000.0,3696200000.0,0.0,Real Estate
129,AMWD,52.5,4,49.4,821783845.3834534,0.063,0,873556227.6426109,1857186000.0,212801000.0,0.04631,176935000.0,113172000.0,148299000.0,123854000.0,Consumer Cyclical
130,AMWL,3.58,12,2.21,618793363.0010376,0.62,1,1002445248.0616808,277190000.0,-249686000.0,-0.12173,0.0,24401000.0,-192323000.0,0.0,Healthcare
131,AN,154.0,9,128.85,11353386357.800291,0.195,1,13567296697.571348,26985000000.0,2210100000.0,0.13179,0.0,1141000000.0,1668100000.0,0.0,Consumer Cyclical
132,ANAB,30.0,5,21.31,595209595.0832367,0.408,1,838055109.8771973,10287000.0,-105257000.0,-0.11484,2335000.0,-52888000.0,-73593000.0,0.0,Healthcare
133,ANET,175.0,19,162.86,50046878187.56104,0.075,0,53800394051.62812,4381310000.0,1562327000.0,0.15258999,-27479000.0,1433273000.0,492813000.0,0.0,Technology
134,ANF,28.0,9,26.6,1303445238.692665,0.053,0,1372527836.3433764,3697751000.0,106679000.0,0.02309,136847000.0,-15017000.0,-2343000.0,0.0,Consumer Cyclical
135,ANGI,4.5,12,2.15,1080372915.1220398,1.093,1,2261220511.350429,1891524000.0,-6411000.0,-0.03198,3364000.0,206086000.0,27069000.0,0.0,Communication Services
136,ANIP,51.5,4,38.38,671389034.6847534,0.342,1,901004084.5469393,216136000.0,14740000.0,-0.021,2681000.0,100249000.0,-31203000.0,0.0,Healthcare
138,ANSS,305.0,14,323.3,28065899543.499023,-0.057,0,26466143269.519577,2065553000.0,712664000.0,0.057930004,98901000.0,158838000.0,631003000.0,0.0,Technology
139,AON,321.0,13,321.56,66333968776.36719,-0.002,0,66201300838.81445,12479000000.0,3782000000.0,0.06863,-44000000.0,286000000.0,3219000000.0,0.0,Financial Services
140,AORT,23.0,5,13.06,533832741.1520004,0.761,1,940079457.1686728,313789000.0,25682000.0,0.012209999,0.0,14953000.0,-5153000.0,0.0,Healthcare
141,AOS,69.0,9,64.61,9322964648.07129,0.068,0,9956926244.140137,3753900000.0,310000000.0,0.039300002,0.0,215000000.0,391400000.0,0.0,Industrials
142,AOUT,12.5,4,9.59,127406988.02719116,0.303,1,166011305.3994301,247526000.0,6710000.0,-0.02273,-22894000.0,-29161000.0,32496000.0,50449000.0,Consumer Cyclical
143,APAM,30.5,6,31.61,2146670038.8896484,-0.035,0,2071536587.5285108,993285000.0,345100000.0,0.17681,7707000.0,-233900000.0,312610000.0,0.0,Financial Services
144,APD,310.0,19,283.88,63044925395.42969,0.092,0,68845058531.80922,12698600000.0,4351800000.0,0.05766,57200000.0,2375600000.0,3164300000.0,-65900000.0,Basic Materials
145,APEN,10.0,4,10.0,475492000.0,0.0,0,475492000.0,62989000.0,-15828000.0,-0.14385,0.0,13867000.0,-31262000.0,0.0,Healthcare
146,APG,25.0,7,20.92,4893334625.205688,0.195,1,5847534877.120798,6558000000.0,508000000.0,0.01925,0.0,2618000000.0,270000000.0,0.0,Industrials
147,APH,88.0,14,78.05,47348333774.521484,0.127,1,53361572163.88571,12623000000.0,3010200000.0,0.10855,0.0,1746700000.0,2174600000.0,0.0,Technology
148,API,7.45,4,3.83,483472380.3691864,0.945,1,940353779.8180676,160670000.0,-62164000.0,-0.07434,0.0,-7312000.0,-44380000.0,0.0,Technology
150,APLE,18.5,6,15.29,3497633238.953766,0.21,1,4232136219.1340566,1238417000.0,412565000.0,0.03018,0.0,304548000.0,368446000.0,0.0,Real Estate
151,APLS,78.0,15,77.32,8757649765.434265,0.009,0,8836468613.323174,75422000.0,-584500000.0,-0.45266,0.0,8859000.0,-513745000.0,0.0,Healthcare
152,APPN,46.0,9,40.85,2946934162.072754,0.126,1,3318247866.493921,467991000.0,-141258000.0,-0.16497,0.0,98732000.0,-106551000.0,0.0,Technology
153,APPS,15.0,5,11.91,1185285566.8144226,0.259,1,1492274528.619358,747596000.0,160328000.0,0.04006,68836000.0,434017000.0,138790000.0,54052000.0,Technology
154,APTV,135.0,19,104.5,28314276672.0,0.292,1,36582045460.224,17489000000.0,2169000000.0,0.042930003,113000000.0,1871000000.0,1263000000.0,0.0,Consumer Cyclical
155,AQN,8.59,10,8.53,5893769059.017517,0.007,0,5935025442.430639,2765155000.0,1077042000.0,0.01777,0.0,479676000.0,619096000.0,0.0,Utilities
157,AQUA,50.0,9,47.66,5941676860.977173,0.049,0,6232819027.165054,1737076000.0,245115000.0,0.03874,13552000.0,272647000.0,143749000.0,-37653000.0,Industrials
158,AR,36.0,14,24.0,7151808000.0,0.5,1,10727712000.0,8294749000.0,5122427000.0,0.11599,0.0,2503990000.0,3051342000.0,0.0,Energy
160,ARBE,8.5,4,2.87,186113752.5787353,1.962,1,551268935.1382139,2249000.0,-32936000.0,-0.35904,0.0,1268000.0,-40362000.0,0.0,Technology
161,ARCB,118.0,7,88.54,2147829904.209137,0.333,1,2863057262.31078,5324052000.0,540895000.0,0.10492,0.0,1343985000.0,470819000.0,0.0,Industrials
162,ARCT,35.0,11,26.21,732040032.4295044,0.335,1,977273443.2933884,12359000.0,-200391000.0,0.01805,4108000.0,193396000.0,31993000.0,0.0,Healthcare
163,ARDX,6.5,4,4.43,914763919.1131288,0.467,1,1341958669.33896,52158000.0,-60982000.0,-0.21163,1144000.0,42061000.0,-70044000.0,0.0,Healthcare
164,ARE,177.0,11,123.66,21466264684.989258,0.431,1,30718224764.219627,2588962000.0,1629176000.0,0.01192,0.0,474812000.0,1294321000.0,0.0,Real Estate
165,ARHS,13.0,7,7.51,1006927317.1105384,0.731,1,1742991185.918342,796922000.0,58058000.0,0.15203,0.0,432006000.0,74454000.0,0.0,Consumer Cyclical
166,ARIS,15.0,9,7.67,670042002.6649475,0.956,1,1310602157.2126374,321001000.0,148799000.0,0.03418,-370000.0,91750000.0,70213000.0,0.0,Utilities
167,ARMK,41.5,12,34.46,8977277465.813232,0.204,1,10808642068.839132,16326624000.0,1229863000.0,0.02702,69171000.0,4230659000.0,590681000.0,-103818000.0,Industrials
168,ARNC,26.0,5,25.3,2514804744.164276,0.028,0,2585219277.000876,8961000000.0,582000000.0,0.03216,-23000000.0,1457000000.0,338000000.0,0.0,Industrials
169,AROC,13.0,4,10.01,1569197745.960205,0.299,1,2038387872.0023065,845568000.0,310261000.0,0.034849998,167465000.0,64107000.0,203450000.0,0.0,Energy
171,ARRY,27.0,17,19.9,3000302883.286194,0.357,1,4071411012.6193647,853318000.0,2996000.0,-0.00748,0.0,784228000.0,141493000.0,0.0,Technology
172,ARVN,72.5,18,28.46,1516106841.228485,1.547,1,3861524124.608952,131400000.0,-255000000.0,-0.11542,8200000.0,84700000.0,-273500000.0,0.0,Healthcare
173,ARW,131.0,7,119.7,6976630532.130432,0.094,0,7632433802.150693,37124422000.0,2273778000.0,0.062750004,0.0,2647404000.0,-33077000.0,0.0,Technology
174,ARWR,59.0,10,25.27,2696485938.846588,1.335,1,6296294667.206783,243231000.0,-146783000.0,-0.12853,31724000.0,104944000.0,-150339000.0,-14208000.0,Healthcare
175,ASAN,23.0,13,19.54,4157604154.800415,0.177,1,4893500090.2000885,547212000.0,-388224000.0,-0.29975998,-801000.0,168775000.0,-160058000.0,0.0,Technology
176,ASC,21.0,5,14.57,601510781.401062,0.441,1,866777035.9989303,445741000.0,189201000.0,0.13761,1947000.0,253256699.0,124207000.0,0.0,Industrials
177,ASGN,102.0,6,79.08,3946092091.369629,0.29,1,5090458797.866821,4581100000.0,500900000.0,0.07221,0.0,571600000.0,307800000.0,0.0,Technology
178,ASH,130.0,11,101.41,5503683154.748535,0.282,1,7055721804.387622,2391000000.0,550000000.0,0.02957,63000000.0,280000000.0,-282000000.0,-69000000.0,Basic Materials
179,ASLE,21.5,4,16.75,867226225.0,0.284,1,1113518472.9,408544000.0,67428000.0,0.068569995,0.0,68107000.0,-113000.0,0.0,Industrials
